company,type,inches,cpu,gpu,op_sys,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,8,512,0,2.16
Apple,Ultrabook,13.3,Intel Core i5,Intel HD,Other,0,HD,8,0,0,1.34
HP,Notebook,14.0,Intel Core i7,Intel HD,Windows,0,FullHD,8,256,0,1.43
Lenovo,Notebook,15.6,Intel Core i5,Nvidia GeForce,Windows,0,FullHD,8,256,0,2.3
HP,Notebook,15.6,Intel Core i3,Intel HD,Windows,0,HD,4,0,500,1.86
Dell,Notebook,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,8,0,1024,4.42
Dell,Notebook,15.6,Intel Core i7,AMD Radeon 5,Windows,0,FullHD,16,256,2048,2.2
Dell,Notebook,15.6,Intel Celeron,Intel HD,Linux,0,HD,4,0,500,2.2
HP,Notebook,15.6,Intel Core i7,Intel HD,Windows,0,HD,8,0,1024,2.1
Dell,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.6
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,0,1024,2.1
Asus,Ultrabook,14.0,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,16,512,0,1.3
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,128,1024,4.3
Lenovo,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,32,256,1024,4.6
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,16,256,0,1.93
Asus,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,2.9
Lenovo,2 in 1 Convertible,14.0,Intel Core i5,Intel HD,Windows,1,FullHD,8,256,0,1.7
Lenovo,Ultrabook,12.5,Intel Core i7,Intel HD,Windows,1,FullHD,8,256,0,1.3
Dell,Notebook,15.6,Intel Pentium,Intel HD,Linux,0,HD,4,0,500,2.2
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,FullHD,16,256,1024,2.7
